title,text,label
"Moonlight bottled, now available on Amazon","Moonlight bottled, now available on Amazon. Experts are baffled as this news shocks the world. Citizens are reacting on social media.",0
"Ants form union, demand wage hikes","Ants form union, demand wage hikes. Experts are baffled as this news shocks the world. Citizens are reacting on social media.",0
Sunlight made taxable in new energy policy,Sunlight made taxable in new energy policy. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Students to get marks for sleeping in class,Students to get marks for sleeping in class. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Students to get marks for sleeping in class,Students to get marks for sleeping in class. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Crows launch social network to gossip,Crows launch social network to gossip. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Time travel now mandatory for 12th graders,Time travel now mandatory for 12th graders. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
"Sun goes on strike, demands better work hours","Sun goes on strike, demands better work hours. Experts are baffled as this news shocks the world. Citizens are reacting on social media.",0
Government introduces zero-calorie water tax,Government introduces zero-calorie water tax. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Taj Mahal opens rooftop café for moon picnics,Taj Mahal opens rooftop café for moon picnics. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Minister declares war on Mondays,Minister declares war on Mondays. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Invisibility becomes new dress code trend,Invisibility becomes new dress code trend. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
India's official language changed to emoji,India's official language changed to emoji. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Invisibility becomes new dress code trend,Invisibility becomes new dress code trend. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Cows granted special train coaches with AC,Cows granted special train coaches with AC. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Crows launch social network to gossip,Crows launch social network to gossip. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
New law allows flying without tickets on weekends,New law allows flying without tickets on weekends. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
Aliens enroll in IIT for quantum computing,Aliens enroll in IIT for quantum computing. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
New bill makes sarcasm a punishable offense,New bill makes sarcasm a punishable offense. Experts are baffled as this news shocks the world. Citizens are reacting on social media.,0
